user_id,dtw_id,rating
148,31,3.2
62,86,3.2
32,74,3.7
52,23,4.1
166,61,4.6
71,92,4.9
60,24,4.6
142,85,3.5
152,89,3.8
10,89,3.5
159,53,3.3
45,12,4.4
146,93,4.7
136,58,3.4
12,60,3.3
125,80,3.5
154,98,4.4
198,94,4.2
144,47,3.2
188,62,3.3
20,72,4.3
2,51,3.9
92,47,4.6
111,53,4.8
185,69,4.5
137,86,4.9
44,49,3.9
199,44,4.7
164,40,4.3
102,28,3.7
182,18,3.5
93,66,3.4
194,84,4.5
9,62,4.9
1,21,3.8
159,83,4.9
128,33,3.5
32,23,3.8
9,61,3.8
125,22,4.4
33,70,3.6
21,41,4.8
169,8,3.8
72,22,3.3
27,42,3.3
137,27,4.2
173,8,4.6
49,48,3.3
76,22,3.6
107,27,4.8
150,68,4.3
15,73,4.3
99,7,3.9
87,3,5.0
196,103,4.5
199,59,4.8
45,77,4.3
63,86,4.1
151,69,4.6
62,43,4.8
166,99,5.0
55,21,4.1
157,30,3.1
37,104,3.4
188,103,3.7
172,24,3.3
135,40,3.6
200,49,5.0
138,66,4.2
52,5,4.5
173,59,4.5
157,49,3.4
21,100,3.0
95,100,3.7
97,17,3.5
137,65,4.7
69,76,4.3
199,55,3.2
54,12,3.9
56,59,4.9
32,31,3.8
70,43,4.9
76,7,4.9
72,71,3.9
23,65,4.0
139,37,3.2
71,10,4.4
42,43,4.1
53,35,4.2
163,2,4.4
178,99,4.8
82,15,5.0
133,76,4.9
82,30,4.4
50,43,4.2
186,2,3.2
184,9,4.6
137,44,4.8
36,82,4.9
39,94,4.4
91,86,4.5
118,39,3.5
176,15,4.0
37,88,4.3
192,72,3.2
89,92,3.2
65,105,3.2
141,33,4.6
156,13,3.9
146,97,4.2
37,52,4.2
141,51,3.4
35,69,3.7
162,2,4.3
124,2,4.6
134,73,4.3
50,100,4.0
85,31,4.3
55,49,4.9
26,104,3.9
158,23,3.2
193,43,4.0
1,37,3.6
186,70,4.1
1,91,3.6
101,69,3.1
95,76,3.4
100,64,4.5
10,8,3.2
124,50,3.6
75,44,5.0
45,85,4.3
194,17,4.0
184,36,4.1
70,23,4.6
11,68,4.3
