user_id,dtw_id,rating
1,31,4.5
1,44,4.7
1,20,3.7
1,85,3.8
2,5,4.5
2,66,3.4
2,85,3.1
2,67,3.7
2,6,3.1
2,104,4.3
3,69,3.6
3,80,3.2
3,74,3.5
3,11,5.0
4,32,3.8
4,73,4.2
4,22,3.2
4,67,3.9
4,98,4.5
4,85,5.0
5,94,3.5
5,42,4.5
5,20,3.7
5,57,5.0
5,23,3.2
5,18,4.5
6,95,3.4
6,52,4.1
6,84,3.3
7,39,3.6
7,70,3.7
7,73,3.7
7,22,3.3
8,61,3.8
8,24,3.8
9,9,4.5
9,53,3.6
9,5,4.3
9,70,4.8
9,98,4.4
9,33,3.2
10,58,3.4
10,19,3.4
10,55,4.6
10,10,4.3
10,84,3.9
11,21,4.9
11,89,3.5
11,52,4.7
11,12,3.8
11,6,3.6
12,33,4.4
12,80,4.7
12,40,3.8
12,75,4.7
12,103,4.2
12,10,4.4
13,35,3.3
13,34,3.1
13,79,5.0
13,26,3.8
13,91,4.6
13,6,3.9
13,103,3.7
13,106,4.9
14,24,3.3
14,23,4.1
14,14,3.1
14,60,4.7
14,51,4.7
14,68,4.1
15,56,4.3
15,53,3.4
16,56,4.6
16,55,4.8
16,76,3.9
16,72,3.7
16,101,3.1
16,98,4.9
17,23,3.3
17,51,4.7
17,55,4.4
17,16,3.8
17,73,4.5
17,9,3.5
18,91,3.8
18,93,4.3
18,62,3.2
18,21,3.6
18,90,3.3
19,68,3.8
19,24,4.5
20,91,4.8
20,60,4.1
21,98,4.0
21,49,4.2
21,10,4.0
21,103,3.1
21,42,3.5
21,103,4.5
21,19,3.6
22,20,4.5
22,103,4.0
23,3,3.4
23,59,3.4
23,25,3.5
23,83,3.8
24,39,4.2
24,53,3.1
24,95,3.5
24,77,3.9
25,94,4.7
25,36,4.2
25,52,4.0
25,56,3.2
25,88,4.2
25,14,4.8
26,52,4.4
26,95,3.4
26,86,3.1
26,50,4.3
26,66,4.9
26,2,3.4
26,70,4.2
27,34,4.6
27,87,3.7
27,2,4.6
27,5,3.4
27,7,4.8
27,5,4.8
27,99,4.0
28,22,4.8
28,36,3.1
28,47,4.5
28,10,3.8
28,92,3.1
28,72,3.4
28,88,3.4
29,12,4.4
29,9,4.9
29,30,5.0
29,102,3.0
29,26,3.1
30,64,3.4
30,53,3.1
31,70,4.8
31,74,3.2
32,29,4.1
32,100,3.8
32,63,3.7
32,8,3.5
33,92,4.5
33,21,3.6
33,66,3.1
33,32,3.6
33,96,4.0
33,68,3.2
33,89,4.4
33,15,4.2
34,60,4.0
34,104,3.3
34,97,3.6
34,54,4.0
34,67,3.3
34,13,4.9
34,52,4.4
34,5,4.3
35,79,3.3
35,6,3.3
35,14,4.2
35,38,3.5
35,39,3.9
35,6,4.5
35,85,4.3
35,68,4.2
36,54,4.9
36,86,3.7
36,104,3.4
36,77,4.0
36,100,3.3
36,40,4.1
36,50,4.1
36,65,4.5
37,13,4.2
37,65,4.9
37,73,4.6
37,24,4.0
38,17,4.0
38,21,4.6
38,34,3.0
38,80,4.4
38,28,4.7
39,61,3.2
39,23,4.7
39,47,4.3
39,13,4.2
39,17,3.0
39,96,3.8
39,10,3.3
39,54,3.3
40,37,3.9
40,86,3.2
40,74,3.9
40,16,3.8
41,64,3.2
41,38,3.5
41,85,4.5
41,30,4.3
41,31,3.7
42,55,3.3
42,53,3.1
43,87,4.6
43,55,3.0
43,74,4.9
43,46,3.7
43,37,3.2
43,83,3.6
44,2,4.1
44,25,3.5
44,71,3.5
44,34,4.3
45,53,4.2
45,87,3.4
45,76,4.8
45,78,4.9
45,10,3.7
45,95,4.2
46,82,4.7
46,72,4.3
46,78,3.3
46,64,4.2
46,38,4.7
46,59,3.5
47,10,3.2
47,35,4.6
47,21,4.3
47,103,4.5
47,75,3.9
47,28,4.7
47,66,4.9
47,58,4.7
48,99,4.4
48,49,3.4
48,47,4.8
48,45,3.4
48,89,3.5
